[[217350818616180738], 1] 1
[[351374775303684096], 1] 1
[[369434084491026432], 1] 1
[[410043550341275648], 1] 1
[[410201626528321536], 1] 1
[[420761342224498688], 1] 1
[[422148588857077760], 1] 1
[[459844730118230017], 1] 1
[[471829005121761280], 1] 1
[[503044129774133248], 1] 1
[[504448828875866112], 1] 1
[[533415790377062400], 1] 1
[[540695414157361152], 1] 1
[[548113367798677504], 1] 1
[[556299220354072578], 1] 1
[[560289412458618881], 1] 1
[[587906792375615488], 1] 1
[[589226872342351873], 1] 1
[[594880191882604544], 1] 1
[[597133834015154176], 1] 1
[[601277263196262400], 1] 1
[[601941765323509760], 1] 1
[[604015655398977536], 1] 1
[[607713316765433856], 1] 1
[[610947742836260864], 1] 1
[[612827105257222148], 1] 1
[[614163472184537088], 1] 1
[[615710083679408128], 1] 1
[[617498633819172864], 1] 1
[[620682541570359296], 1] 1
[[622096446767132673], 1] 1
[[628561879607046144], 1] 1
[[629155376877973504], 1] 1
[[634447530063982592], 1] 1
[[640381774758080513], 1] 1
[[652889792024178688], 1] 1
[[655560005882507264], 1] 1
[[656650248820039680], 1] 1
[[661591722506391553], 1] 1
[[662862237682434048], 1] 1
[[663911327631433728], 1] 1
[[663911327631433728], 1] 1
[[666072401030066176], 1] 1
[[666828929596964864], 1] 1
[[667110747328094208], 1] 1
[[673342908301336576], 1] 1
[[675039602953076738], 1] 1
[[675522567902375936], 1] 1
[[678343931562737664], 1] 1
[[679100150137159680], 1] 1
[[680033443850416128], 1] 1
[[680971599147855872], 1] 1
[[681182473909211136], 1] 1
[[682286801596223489], 1] 1
[[683868002253553664], 1] 1
[[683988781884571648], 1] 1
[[685567305552510976], 1] 1
[[686280639235125248], 1] 1
[[686434292646334464], 1] 1
[[687027703946559488], 1] 1
[[687473026116366336], 1] 1
[[688935087098974208], 1] 1
[[690276646981652480], 1] 1
[[690378853596971008], 1] 1
[[690482976317054976], 1] 1
[[691989955183296512], 1] 1
[[692607428710391808], 1] 1
[[692808101515370496], 1] 1
[[693472942911434753], 1] 1
[[695525039874019328], 1] 1
[[696570126854828033], 1] 1
[[696624050123112448], 1] 1
[[696795621403992064], 1] 1
[[697511184392699908], 1] 1
[[697542881070989315], 1] 1
[[697719176362795008], 1] 1
[[697930171257585665], 1] 1
[[698286919466291200], 1] 1
[[698476771428073474], 1] 1
[[699014394362122240], 1] 1
[[699214127781257216], 1] 1
[[699325934692868097], 1] 1
[[699755491916849153], 1] 1
[[699931025078665216], 1] 1
[[699953892239548416], 1] 1
[[700103736073519104], 1] 1
[[700255115161112576], 1] 1
[[700545433186263040], 1] 1
[[700548787362725889], 1] 1
[[701143959473553409], 1] 1
[[701436553617276929], 1] 1
[[701621428206972929], 1] 1
[[701963366105874433], 1] 1
[[702608477886275589], 1] 1
[[702872475189669889], 1] 1
[[702878476945100800], 1] 1
[[703959948670033920], 1] 1
[[704415465716768768], 1] 1
[[704453330223783936], 1] 1
[[704724375778435072], 1] 1
[[705057272041353216], 1] 1
[[705081200105226240], 1] 1
[[705153870511652864], 1] 1
[[705240978643357696], 1] 1
[[705666039636307968], 1] 1
[[705762306110595072], 1] 1
[[705824011138277376], 1] 1
[[705865751312392192], 1] 1
[[706133241766547456], 1] 1
[[706499079451246592], 1] 1
[[706504304002138113], 1] 1
[[706801016423878656], 1] 1
[[706889158841733120], 1] 1
[[706916163192664068], 1] 1
[[706935690920108035], 1] 1
[[707171857544314880], 1] 1
[[707221525661753344], 1] 1
[[707263587220381696], 1] 1
[[707307161555046400], 1] 1
[[707396982772338689], 1] 1
[[707476332259753984], 1] 1
[[707476562640240640], 1] 1
[[707507295320739840], 1] 1
[[707622345226125312], 1] 1
[[707664952614641664], 1] 1
[[707749470750973952], 1] 1
[[707754065657094146], 1] 1
[[707770453125894144], 1] 1
[[707838457402540032], 1] 1
[[707889132228505601], 1] 1
[[708031440743575552], 1] 1
[[708034858518503426], 1] 1
[[708040010705059840], 1] 1
[[708047392306814976], 1] 1
[[708050663150739456], 1] 1
[[708144191814168576], 1] 1
[[708167096765558784], 1] 1
[[708192573328719872], 1] 1
[[708339713883643905], 1] 1
[[708518932164911104], 1] 1
[[708583987464245248], 1] 1
[[708661471606153216], 1] 1
[[708677031525879808], 1] 1
[[708711387007213568], 1] 1
[[708778215754604544], 1] 1
[[708793784302088192], 1] 1
[[708794353477521408], 1] 1
[[708853493025476609], 1] 1
[[708873778307198978], 1] 1
[[709029177165549568], 1] 1
[[709218768363216898], 1] 1
[[709296476413763585], 1] 1
[[709296872284770304], 1] 1
[[709296996041928704], 1] 1
[[709298340375048192], 1] 1
[[709298340702257152], 1] 1
[[709298426010206209], 1] 1
[[709298488182308865], 1] 1
[[709320151380832256], 1] 1
[[709320245425475584], 1] 1
[[709320279302930432], 1] 1
[[709320279734951936], 1] 1
[[709320279734951936], 1] 1
[[709346033348714501], 1] 1
[[709389141235130368], 1] 1
[[709739641881034752], 1] 1
[[709739905941803009], 1] 1
[[709759730294640640], 1] 1
[[709864381014630400], 1] 1
[[709897240156966912], 1] 1
[[709944746643337216], 1] 1
[[709974766745165824], 1] 1
[[710223722737602560], 1] 1
[[710262606632595456], 1] 1
[[710262606632595456], 1] 1
[[710262606632595456], 1] 1
[[710262606632595456], 1] 1
[[710288568514555904], 1] 1
[[710515196209471489], 1] 1
[[710648596765544448], 1] 1
[[710652808450727937], 1] 1
[[710840271584555008], 1] 1
[[710843434786025473], 1] 1
[[710920386746056704], 1] 1
[[710933743029002240], 1] 1
[[711136425018667010], 1] 1
[[711151770974556160], 1] 1
[[711173110578470912], 1] 1
[[711287497867829248], 1] 1
[[711322686778175488], 1] 1
[[711330770317606913], 1] 1
[[711331316206276608], 1] 1
[[711331423353962498], 1] 1
[[711450453515620352], 1] 1
[[711587186655813632], 1] 1
[[711603839443423232], 1] 1
[[711628004590542848], 1] 1
[[711652624571871232], 1] 1
[[711660947249754113], 1] 1
[[711714919809331202], 1] 1
[[711827512297271296], 1] 1
[[711838173777633280], 1] 1
[[711838173777633280], 1] 1
[[711881236696838146], 1] 1
[[711945592969232385], 1] 1
[[711962615233130496], 1] 1
[[711983486790475778], 1] 1
[[711997664838045696], 1] 1
[[712041667650580480], 1] 1
[[712092751991451648], 1] 1
[[712190778588553217], 1] 1
[[712229038220140544], 1] 1
[[712233709391486977], 1] 1
[[712240653481152512], 1] 1
[[712253862485356544], 1] 1
[[712300689981095936], 1] 1
[[712327665651478529], 1] 1
[[712335763292073985], 1] 1
[[712348435395969025], 1] 1
[[712412740917178369], 1] 1
[[712436196237025280], 1] 1
[[712450083174744064], 1] 1
[[712461091226443776], 1] 1
[[712486246489202689], 1] 1
[[712605945260609536], 1] 1
[[712643918060527616], 1] 1
[[712662600027398144], 1] 1
[[712808149846265856], 1] 1
[[712821648827744256], 1] 1
